company_nature,stock_id,stock_name,stock_website
其它,000555.SZ,神州信息,http://www.dcits.com 
其它,000557.SZ,西部创业,http://www.xbcy.nx.cn 
其它,000558.SZ,莱茵体育,http://www.lander.com.cn 
其它,000559.SZ,万向钱潮,http://www.wxqc.com.cn 
其它,000560.SZ,我爱我家,http://www.000560.5i5j.com 
其它,000561.SZ,烽火电子,http://www.fenghuo.cn 
王维华,000563.SZ,陕国投A,http://www.siti.com.cn 
民营企业,000564.SZ,供销大集,http://www.gongxiaodaji.com 
其它,000565.SZ,渝三峡A,http://www.sanxia.com 
其它,000566.SZ,海南海药,http://www.haiyao.com.cn 
资产管理公司,000567.SZ,海德股份,http://www.000567.com 
其它,000568.SZ,泸州老窖,http://www.lzlj.com 
其它,000570.SZ,苏常柴A,http://www.changchai.com.cn 
其它,000571.SZ,*ST大洲,http://www.sundiro.com 
164464万元,000572.SZ,ST海马,http://www.haima.com 
其它,000573.SZ,粤宏远A,http://www.winnerway.com.cn 
其它,000576.SZ,广东甘化,http://www.gdganhua.com 
0510-80505999,000581.SZ,威孚高科,http://www.weifu.com.cn 
何典治,000582.SZ,北部湾港,http://www.bbwport.cn 
民营企业,000584.SZ,哈工智能,http://www.hgzngroup.com 
其它,000585.SZ,*ST东电,http://www.nee.com.cn 
民营相对控股企业,000586.SZ,汇源通信,http://www.schy.com.cn 
民营企业,000587.SZ,*ST金洲,http://www.goldzb.com 
其它,000589.SZ,贵州轮胎,http://www.gztyre.com 
其它,000590.SZ,启迪古汉,http://www.guhan.com 
国有企业,000591.SZ,太阳能,http://www.cecsec.cn 
其它,000592.SZ,平潭发展,http://www.000592.com 
民营企业,000593.SZ,大通燃气,http://www.dtrq.com 
其它,000595.SZ,*ST宝实,http://www.nxz.com.cn 
"0558-5712231,0558-5710057",000596.SZ,古井贡酒,http://www.gujing.com 
其它,000597.SZ,东北制药,http://www.nepharm.com.cn 
其它,000598.SZ,兴蓉环境,http://www.cdxrec.com 
其它,000599.SZ,青岛双星,http://www.doublestar.com.cn 
投资公司,000600.SZ,建投能源,http://www.jei.com.cn 
其它,000601.SZ,韶能股份,"http://www.shaoneng.com.cn,www.sn0601.com "
其它,000603.SZ,盛达资源,http://www.sdkygf.com 
其它,000605.SZ,渤海股份,http://www.bohai-water.com 
其它,000606.SZ,顺利办,http://www.shunliban.com 
其它,000607.SZ,华媒控股,http://www.000607.cn 
其它,000608.SZ,阳光股份,http://www.yangguangxinye.com 
投资公司,000609.SZ,中迪投资,http://www.zdinvest.com 
其它,000610.SZ,西安旅游,http://www.xatourism.com 
其它,000611.SZ,*ST天首,http:// 
其它,000612.SZ,焦作万方,http://www.jzwfly.cn 
民营相对控股企业,000613.SZ,大东海A,http:// 
投资公司,000615.SZ,京汉股份,http://www.000615.com.cn 
投资公司,000616.SZ,海航投资,http://www.hnainvestment.com 
其它,000617.SZ,中油资本,http://www.cnpccapital.cn 
其它,000619.SZ,海螺型材,http://profile.conch.cn 
民营企业,000620.SZ,新华联,http://www.xhlwl.com.cn 
其它,000622.SZ,恒立实业,http://www.hlsyfzjt.com 
其它,000623.SZ,吉林敖东,http://www.jlaod.com 
国有企业,000625.SZ,长安汽车,http://www.changan.com.cn 
其它,000626.SZ,远大控股,http://www.grand-holding.cn 
其它,000627.SZ,天茂集团,http://www.tianmaogroup.net 
其它,000628.SZ,高新发展,http://www.cdgxfz.com 
其它,000629.SZ,攀钢钒钛,http://www.pgvt.cn 
其它,000630.SZ,铜陵有色,http://www.tlys.cn 
其它,000631.SZ,顺发恒业,http://www.sfhy.cn 
其它,000632.SZ,三木集团,http://www.san-mu.com 
民营企业,000633.SZ,合金投资,http://www.xjhjtz.net 
其它,000635.SZ,英力特,http://www.yinglitechem.com 
其它,000636.SZ,风华高科,http://www.fenghua-advanced.com 
民营相对控股企业,000637.SZ,茂化实华,http://www.mhsh0637.com.cn 
其它,000638.SZ,万方发展,http://www.vanfund.cn 
