company_nature,stock_id,stock_name,stock_website
国有企业,000625.SZ,长安汽车,http://www.changan.com.cn 
民营相对控股企业,000626.SZ,远大控股,http://www.grand-holding.cn 
民营企业,000627.SZ,天茂集团,http://www.tianmaogroup.net 
未知,000628.SZ,高新发展,http://www.cdgxfz.com 
国有企业,000629.SZ,攀钢钒钛,http://www.pgvt.cn 
未知,000630.SZ,铜陵有色,http://www.tlys.cn 
民营企业,000631.SZ,顺发恒业,http://www.sfhy.cn 
未知,000632.SZ,三木集团,http://www.san-mu.com 
民营企业,000633.SZ,合金投资,http://www.xjhjtz.net 
国有企业,000635.SZ,英力特,http://www.yinglitechem.com 
未知,000636.SZ,风华高科,http://www.fenghua-advanced.com 
民营相对控股企业,000637.SZ,茂化实华,http://www.mhsh0637.com.cn 
民营企业,000638.SZ,万方发展,http://www.vanfund.cn 
民营相对控股企业,000639.SZ,西王食品,http://www.xwsp.cc 
民营企业,000650.SZ,仁和药业,http://www.renheyaoye.com 
未知,000651.SZ,格力电器,http://www.gree.com.cn 
未知,000652.SZ,泰达股份,http://www.tedastock.com 
未知,000655.SZ,金岭矿业,http://www.sdjlky.com 
民营企业,000656.SZ,金科股份,http://www.jinke.com 
国有企业,000657.SZ,中钨高新,http://www.minmetalstungsten.com 
民营相对控股企业,000659.SZ,珠海中富,http://www.zhongfu.com.cn 
未知,000661.SZ,长春高新,http://www.cchn.com.cn 
民营企业,000662.SZ,*ST天夏,http://www.txgis.com 
未知,000663.SZ,*ST永林,http://www.yonglin.com 
未知,000665.SZ,湖北广电,http://www.hrtn.net 
国有企业,000666.SZ,经纬纺机,http://www.jwgf.com 
民营企业,000667.SZ,美好置业,http://www.000667.com 
民营相对控股企业,000668.SZ,荣丰控股,http://www.rongfengholding.com 
民营企业,000669.SZ,*ST金鸿,http://www.spjhe.com 
民营企业,000671.SZ,阳光城,http://www.yango.com.cn 
民营企业,000672.SZ,上峰水泥,http://www.sfsn.cn 
民营企业,000673.SZ,*ST当代,http://www.sz000673.com 
民营企业,000676.SZ,智度股份,http://www.genimous.com 
民营企业,000677.SZ,恒天海龙,http://www.helon.cn 
民营企业,000678.SZ,襄阳轴承,http://www.zxy.com.cn 
民营企业,000679.SZ,*ST友谊,http://www.sz000679.com 
未知,000680.SZ,山推股份,http://www.shantui.com 
民营相对控股企业,000681.SZ,视觉中国,http://www.vcg.com 
未知,000682.SZ,东方电子,http://www.dongfangelec.com 
民营企业,000683.SZ,远兴能源,http://www.yuanxing.com 
未知,000685.SZ,中山公用,http://www.zpug.net 
未知,000686.SZ,东北证券,http://www.nesc.cn 
民营企业,000687.SZ,*ST华讯,http://www.huaxunchina.com.cn 
民营相对控股企业,000688.SZ,国城矿业,http://www.gcky0688.com 
民营企业,000690.SZ,宝新能源,http://www.baolihua.com.cn 
民营企业,000691.SZ,亚太实业,http://www.ytsy000691.com 
未知,000692.SZ,惠天热电,http://www.htrd.cn 
未知,000695.SZ,滨海能源,http://www.binhaienergy.com 
民营相对控股企业,000697.SZ,炼石航空,http://www.lsmin.com 
国有相对控股企业,000698.SZ,沈阳化工,http://www.sychem.com 
民营企业,000700.SZ,模塑科技,http://www.000700.com 
未知,000701.SZ,厦门信达,http://www.xindeco.com.cn 
未知,000702.SZ,正虹科技,http://www.chinazhjt.com.cn 
民营企业,000703.SZ,恒逸石化,http://www.hengyishihua.com 
未知,000705.SZ,浙江震元,http://www.zjzy.com 
未知,000707.SZ,ST双环,http://www.hbshkj.cn 
国有企业,000708.SZ,中信特钢,http://www.swww.citicsteel.com 
未知,000709.SZ,河钢股份,http://www.hebgtgf.com 
民营企业,000710.SZ,贝瑞基因,http://www.berrygenomics.com 
民营企业,000711.SZ,京蓝科技,http://www.kinglandgroup.com 
民营企业,000712.SZ,锦龙股份,http://www.jlgf.com 
未知,000713.SZ,丰乐种业,http://www.fengle.com.cn 
民营企业,000715.SZ,中兴商业,http://www.zxbusiness.com 
民营企业,000716.SZ,黑芝麻,http://www.nanfangfood.com 
国有企业,000717.SZ,韶钢松山,http://www.sgss.com.cn 
民营企业,000718.SZ,苏宁环球,http://www.suning-universal.com 
未知,000719.SZ,中原传媒,http://www.zyddcm.com 
国有企业,000720.SZ,新能泰山,http://www.xntsgs.com 
未知,000721.SZ,西安饮食,http://www.chizhuanxian.com 
未知,000722.SZ,湖南发展,http://www.hnfzgf.com 
民营企业,000723.SZ,美锦能源,http://www.mjenergy.cn 
未知,000725.SZ,京东方A,http://www.boe.com 
民营相对控股企业,000726.SZ,鲁泰A,http://www.lttc.com.cn 
国有相对控股企业,000727.SZ,*ST东科,http://www.huadongtech.com 
未知,000728.SZ,国元证券,http://www.gyzq.com.cn 
未知,000729.SZ,燕京啤酒,http://www.yanjing.com.cn 
国有企业,000731.SZ,四川美丰,http://www.scmeif.com 
民营企业,000732.SZ,泰禾集团,http://www.tahoecn.com 
国有相对控股企业,000733.SZ,振华科技,http://www.czst.com.cn 
民营企业,000735.SZ,罗牛山,http://www.luoniushan.com 
国有企业,000736.SZ,中交地产,http://www.zhongjiaodichan.com 
未知,000737.SZ,ST南风,http://www.nafine.com 
国有企业,000738.SZ,航发控制,http://www.aaec.com.cn 
民营企业,000739.SZ,普洛药业,http://www.apeloa.com 
未知,000750.SZ,国海证券,http://www.ghzq.com.cn 
未知,000751.SZ,锌业股份,http://www.hldxygf.com 
民营企业,000752.SZ,*ST西发,http://irm.p5w.net/000752/index.html 
未知,000753.SZ,漳州发展,http://www.zzdc.com.cn 
未知,000755.SZ,山西路桥,http://www.sxsanwei.com 
未知,000756.SZ,新华制药,http://www.xhzy.com 
未知,000757.SZ,浩物股份,http://www.hwgf757.com 
国有企业,000758.SZ,中色股份,http://www.nfc.com.cn 
未知,000759.SZ,中百集团,http://www.whzb.com 
民营相对控股企业,000760.SZ,*ST斯太,http://www.steyr-motors.cn 
未知,000761.SZ,本钢板材,http:// 
未知,000762.SZ,西藏矿业,http:// 
民营企业,000766.SZ,通化金马,http://www.thjm.cn 
未知,000767.SZ,漳泽电力,http://www.zhangzepower.com 
国有企业,000768.SZ,中航飞机,http://www.aircraft_co.avic.com 
未知,000776.SZ,广发证券,http://www.gf.com.cn 
国有企业,000777.SZ,中核科技,http://www.chinasufa.com 
国有企业,000778.SZ,新兴铸管,http://www.xinxing-pipes.com 
未知,000779.SZ,甘咨询,http://www.gsgczx.cn 
国有企业,000780.SZ,*ST平能,http://pzny.chnenergy.com.cn 
民营相对控股企业,000782.SZ,美达股份,http://www.meidanylon.com 
未知,000783.SZ,长江证券,http://www.cjsc.com 
民营企业,000785.SZ,居然之家,http://www.juran.com.cn 
国有企业,000786.SZ,北新建材,http://www.bnbm.com.cn 
国有企业,000788.SZ,北大医药,http://www.pku-hc.com 
未知,000789.SZ,万年青,http://www.wnq.com.cn 
民营企业,000790.SZ,华神科技,http://www.thjkjt.com 
未知,000791.SZ,甘肃电投,http://www.gepiced.com 
未知,000792.SZ,*ST盐湖,http://www.qhyhgf.com 
国有企业,000793.SZ,华闻集团,http://www.000793.com 
民营企业,000795.SZ,英洛华,http://www.innuovo.com 
民营企业,000796.SZ,凯撒旅业,http://www.caissa.com.cn 
未知,000797.SZ,中国武夷,http://www.chinawuyi.com.cn 
国有企业,000798.SZ,中水渔业,http://www.cofc.com.cn 
国有企业,000799.SZ,酒鬼酒,http://www.jiuguijiu000799.com 
国有企业,000800.SZ,一汽解放,http://www.fawcar.com.cn 
未知,000801.SZ,四川九洲,http://www.jiuzhoutech.com.cn 
民营企业,000802.SZ,北京文化,http://www.bjwhmedia.com 
未知,000803.SZ,*ST金宇,http://www.000803.cn 
民营企业,000806.SZ,*ST银河,http://www.g-biomed.com 
国有企业,000807.SZ,云铝股份,http://www.ylgf.com 
未知,000809.SZ,铁岭新城,http://www.tielingnewcity.com.cn 
民营相对控股企业,000810.SZ,创维数字,http://www.skyworthdigital.com 
未知,000811.SZ,冰轮环境,http://www.moon-tech.com 
民营相对控股企业,000812.SZ,陕西金叶,http://www.jinyegroup.cn 
民营企业,000813.SZ,德展健康,http://www.dezhanhealthcare.com 
国有企业,000815.SZ,美利云,http://www.china-meili.com 
中外合资企业,000816.SZ,ST慧业,http://www.jd.dongyin.com 
民营企业,000818.SZ,航锦科技,http://www.hangjintechnology.com 
国有企业,000819.SZ,岳阳兴长,http://www.yyxc0819.com 
民营企业,000820.SZ,*ST节能,http://www.sw-es.cn 
民营相对控股企业,000821.SZ,京山轻机,http://www.jsmachine.com.cn 
国有企业,000822.SZ,山东海化,http://www.chinahaihua.com 
未知,000823.SZ,超声电子,http://www.gd-goworld.com 
未知,000825.SZ,太钢不锈,http://tgbx.tisco.com.cn 
国有企业,000826.SZ,启迪环境,http://www.tus-est.com 
未知,000828.SZ,东莞控股,http://www.dgholdings.cn 
未知,000829.SZ,天音控股,http://www.chinatelling.com 
