000407.SZ,407,胜利股份,山东,供气供热,主板,19960703,0,sheng-li-gu-fen000407.SZ胜利股份,,,,,,,,,,,,,,,,,,,,
000408.SZ,408,*ST藏格,青海,农药化肥,主板,19960628,0,stcang-ge000408.SZ*ST藏格,,,,,,,,,,,,,,,,,,,,
000409.SZ,409,ST地矿,山东,综合类,主板,19960627,0,stdi-kuang000409.SZST地矿,,,,,,,,,,,,,,,,,,,,
000410.SZ,410,*ST沈机,辽宁,机床制造,主板,19960718,0,stchen-ji000410.SZ*ST沈机,,,,,,,,,,,,,,,,,,,,
000411.SZ,411,英特集团,浙江,医药商业,主板,19960716,0,ying-te-ji-tuan000411.SZ英特集团,,,,,,,,,,,,,,,,,,,,
000413.SZ,413,东旭光电,河北,元器件,主板,19960925,0,dong-xu-guang-dian000413.SZ东旭光电,,,,,,,,,,,,,,,,,,,,
000415.SZ,415,渤海租赁,新疆,多元金融,主板,19960716,0,bo-hai-zu-ren000415.SZ渤海租赁,,,,,,,,,,,,,,,,,,,,
000416.SZ,416,民生控股,山东,多元金融,主板,19960719,0,min-sheng-kong-gu000416.SZ民生控股,,,,,,,,,,,,,,,,,,,,
000417.SZ,417,合肥百货,安徽,百货,主板,19960812,0,he-fei-bai-huo000417.SZ合肥百货,,,,,,,,,,,,,,,,,,,,
000419.SZ,419,通程控股,湖南,百货,主板,19960816,0,tong-cheng-kong-gu000419.SZ通程控股,,,,,,,,,,,,,,,,,,,,
000420.SZ,420,吉林化纤,吉林,化纤,主板,19960802,0,ji-lin-hua-xian000420.SZ吉林化纤,,,,,,,,,,,,,,,,,,,,
000421.SZ,421,南京公用,江苏,供气供热,主板,19960806,0,nan-jing-gong-yong000421.SZ南京公用,,,,,,,,,,,,,,,,,,,,
000422.SZ,422,ST宜化,湖北,农药化肥,主板,19960815,0,styi-hua000422.SZST宜化,,,,,,,,,,,,,,,,,,,,
000423.SZ,423,东阿阿胶,山东,中成药,主板,19960729,0,dong-a-a-xiao000423.SZ东阿阿胶,,,,,,,,,,,,,,,,,,,,
000425.SZ,425,徐工机械,江苏,工程机械,主板,19960828,0,xu-gong-ji-jie000425.SZ徐工机械,,,,,,,,,,,,,,,,,,,,
000426.SZ,426,兴业矿业,内蒙,铅锌,主板,19960828,0,xing-ye-kuang-ye000426.SZ兴业矿业,,,,,,,,,,,,,,,,,,,,
000428.SZ,428,华天酒店,湖南,酒店餐饮,主板,19960808,0,hua-tian-jiu-dian000428.SZ华天酒店,,,,,,,,,,,,,,,,,,,,
000429.SZ,429,粤高速A,广东,路桥,主板,19980220,0,yue-gao-su-a000429.SZ粤高速A,,,,,,,,,,,,,,,,,,,,
000430.SZ,430,张家界,湖南,旅游景点,主板,19960829,0,zhang-jia-jie000430.SZ张家界,,,,,,,,,,,,,,,,,,,,
000488.SZ,488,晨鸣纸业,山东,造纸,主板,20001120,0,chen-ming-zhi-ye000488.SZ晨鸣纸业,,,,,,,,,,,,,,,,,,,,
000498.SZ,498,山东路桥,山东,建筑工程,主板,19970609,0,shan-dong-lu-qiao000498.SZ山东路桥,,,,,,,,,,,,,,,,,,,,
000501.SZ,501,鄂武商A,湖北,百货,主板,19921120,0,e-wu-shang-a000501.SZ鄂武商A,,,,,,,,,,,,,,,,,,,,
000502.SZ,502,绿景控股,广东,综合类,主板,19921123,0,lu-jing-kong-gu000502.SZ绿景控股,,,,,,,,,,,,,,,,,,,,
000503.SZ,503,国新健康,海南,医疗保健,主板,19921130,0,guo-xin-jian-kang000503.SZ国新健康,,,,,,,,,,,,,,,,,,,,
000504.SZ,504,ST生物,湖南,环境保护,主板,19921208,0,stsheng-wu000504.SZST生物,,,,,,,,,,,,,,,,,,,,
000505.SZ,505,京粮控股,海南,食品,主板,19921221,0,jing-liang-kong-gu000505.SZ京粮控股,,,,,,,,,,,,,,,,,,,,
000506.SZ,506,中润资源,山东,黄金,主板,19930312,0,zhong-run-zi-yuan000506.SZ中润资源,,,,,,,,,,,,,,,,,,,,
000507.SZ,507,珠海港,广东,港口,主板,19930326,0,zhu-hai-gang000507.SZ珠海港,,,,,,,,,,,,,,,,,,,,
000509.SZ,509,*ST华塑,四川,医疗保健,主板,19930507,0,sthua-su000509.SZ*ST华塑,,,,,,,,,,,,,,,,,,,,
000510.SZ,510,新金路,四川,化工原料,主板,19930507,0,xin-jin-lu000510.SZ新金路,,,,,,,,,,,,,,,,,,,,
000513.SZ,513,丽珠集团,广东,化学制药,主板,19931028,0,li-zhu-ji-tuan000513.SZ丽珠集团,,,,,,,,,,,,,,,,,,,,
000514.SZ,514,渝开发,重庆,区域地产,主板,19930712,0,yu-kai-fa000514.SZ渝开发,,,,,,,,,,,,,,,,,,,,
000516.SZ,516,国际医学,陕西,医疗保健,主板,19930809,0,guo-ji-yi-xue000516.SZ国际医学,,,,,,,,,,,,,,,,,,,,
000517.SZ,517,荣安地产,浙江,区域地产,主板,19930806,0,rong-an-di-chan000517.SZ荣安地产,,,,,,,,,,,,,,,,,,,,
000518.SZ,518,四环生物,江苏,生物制药,主板,19930908,0,si-huan-sheng-wu000518.SZ四环生物,,,,,,,,,,,,,,,,,,,,
000519.SZ,519,中兵红箭,湖南,矿物制品,主板,19931008,0,zhong-bing-hong-jian000519.SZ中兵红箭,,,,,,,,,,,,,,,,,,,,
000520.SZ,520,长航凤凰,湖北,水运,主板,19931025,0,chang-hang-feng-huang000520.SZ长航凤凰,,,,,,,,,,,,,,,,,,,,
000521.SZ,521,长虹美菱,安徽,家用电器,主板,19931018,0,chang-hong-mei-ling000521.SZ长虹美菱,,,,,,,,,,,,,,,,,,,,
000523.SZ,523,广州浪奇,广东,日用化工,主板,19931108,0,yan-zhou-lang-qi000523.SZ广州浪奇,,,,,,,,,,,,,,,,,,,,
000524.SZ,524,岭南控股,广东,酒店餐饮,主板,19931118,0,ling-nan-kong-gu000524.SZ岭南控股,,,,,,,,,,,,,,,,,,,,
000525.SZ,525,红太阳,江苏,农药化肥,主板,19931028,0,hong-tai-yang000525.SZ红太阳,,,,,,,,,,,,,,,,,,,,
000526.SZ,526,紫光学大,福建,文教休闲,主板,19931101,0,zi-guang-xue-da000526.SZ紫光学大,,,,,,,,,,,,,,,,,,,,
000528.SZ,528,柳工,广西,工程机械,主板,19931118,0,liu-gong000528.SZ柳工,,,,,,,,,,,,,,,,,,,,
000529.SZ,529,广弘控股,广东,食品,主板,19931118,0,yan-hong-kong-gu000529.SZ广弘控股,,,,,,,,,,,,,,,,,,,,
000530.SZ,530,冰山冷热,辽宁,机械基件,主板,19931208,0,bing-shan-leng-re000530.SZ冰山冷热,,,,,,,,,,,,,,,,,,,,
000531.SZ,531,穗恒运A,广东,火力发电,主板,19940106,0,sui-heng-yun-a000531.SZ穗恒运A,,,,,,,,,,,,,,,,,,,,
000532.SZ,532,华金资本,广东,多元金融,主板,19940103,0,hua-jin-zi-ben000532.SZ华金资本,,,,,,,,,,,,,,,,,,,,
000533.SZ,533,顺钠股份,广东,电气设备,主板,19940103,0,shun-na-gu-fen000533.SZ顺钠股份,,,,,,,,,,,,,,,,,,,,
000534.SZ,534,万泽股份,广东,生物制药,主板,19940110,0,mo-ze-gu-fen000534.SZ万泽股份,,,,,,,,,,,,,,,,,,,,
000536.SZ,536,*ST华映,福建,元器件,主板,19931126,0,sthua-ying000536.SZ*ST华映,,,,,,,,,,,,,,,,,,,,
000537.SZ,537,广宇发展,天津,区域地产,主板,19931210,0,yan-yu-fa-zhan000537.SZ广宇发展,,,,,,,,,,,,,,,,,,,,
000538.SZ,538,云南白药,云南,中成药,主板,19931215,0,yun-nan-bai-yao000538.SZ云南白药,,,,,,,,,,,,,,,,,,,,
000539.SZ,539,粤电力A,广东,火力发电,主板,19931126,0,yue-dian-li-a000539.SZ粤电力A,,,,,,,,,,,,,,,,,,,,
000540.SZ,540,中天金融,贵州,多元金融,主板,19940202,0,zhong-tian-jin-rong000540.SZ中天金融,,,,,,,,,,,,,,,,,,,,
000541.SZ,541,佛山照明,广东,家用电器,主板,19931123,0,fo-shan-zhao-ming000541.SZ佛山照明,,,,,,,,,,,,,,,,,,,,
000543.SZ,543,皖能电力,安徽,火力发电,主板,19931220,0,wan-neng-dian-li000543.SZ皖能电力,,,,,,,,,,,,,,,,,,,,
000544.SZ,544,中原环保,河南,环境保护,主板,19931208,0,zhong-yuan-huan-bao000544.SZ中原环保,,,,,,,,,,,,,,,,,,,,
000545.SZ,545,金浦钛业,吉林,化工原料,主板,19931215,0,jin-pu-tai-ye000545.SZ金浦钛业,,,,,,,,,,,,,,,,,,,,
